scenario_id,resolving_power,intrinsic_sigma_kms,continuum_photons_per_bin,read_noise_e,monte_carlo_trials,injected_sigma_mps,seed
narrow-r050k,50000,1.0,50000,0,0,10,501
narrow-r075k,75000,1.0,50000,0,0,10,751
narrow-r100k,100000,1.0,50000,0,1000,10,1001
narrow-r150k,150000,1.0,50000,0,0,10,1501
narrow-r200k,200000,1.0,50000,0,0,10,2001
moderate-r050k,50000,2.5,50000,0,0,10,502
moderate-r075k,75000,2.5,50000,0,0,10,752
moderate-r100k,100000,2.5,50000,0,1000,10,1002
moderate-r150k,150000,2.5,50000,0,1000,10,1502
moderate-r200k,200000,2.5,50000,0,0,10,2002
broad-r050k,50000,5.0,50000,0,0,10,505
broad-r075k,75000,5.0,50000,0,0,10,755
broad-r100k,100000,5.0,50000,0,1000,10,1005
broad-r150k,150000,5.0,50000,0,0,10,1505
broad-r200k,200000,5.0,50000,0,0,10,2005
