measurement_context,n_claims
commissioning stellar exposure,1
design requirement,3
engineering requirement,1
on-sky commissioning,3
on-sky forward modelling,1
on-sky gas-cell analysis,1
on-sky high-SNR spectra,1
on-sky instrument performance,1
on-sky solar feed,1
on-sky solar time series,1
on-sky stability sequence,1
on-sky standard-star observations,1
on-sky standard-star sequence,1
on-sky standard-star sequences,1
on-sky stellar time series,1
on-sky survey,2
subsystem calibration validation,1
