instrument,wave_min_nm,wave_max_nm,resolving_power,wavelength_span_nm,wavelength_ratio
HARPS,378,691,120000,313,1.8280423280423281
ESPRESSO,380,788,140000,408,2.0736842105263156
EXPRES,380,780,137500,400,2.0526315789473686
NEID,380,930,112000,550,2.4473684210526314
HARPS3,380,690,115000,310,1.8157894736842106
HARPS-N,383,693,115000,310,1.8093994778067886
ANDES,400,1800,100000,1400,4.5
KPF,445,870,98000,425,1.9550561797752808
MAROON-X,500,920,85000,420,1.84
CARMENES,520,1710,93400,1190,3.2884615384615383
HPF,810,1280,55000,470,1.5802469135802468
SPIRou,950,2500,70000,1550,2.6315789473684212
NIRPS,970,1850,82000,880,1.907216494845361
