scenario_id,resolving_power,intrinsic_sigma_kms,continuum_photons_per_bin,read_noise_e,photon_limit_mps,monte_carlo_trials,mc_bias_mps,mc_empirical_sigma_mps,mc_empirical_sigma_standard_error_mps,mc_coverage_1sigma,mc_coverage_standard_error
narrow-r050k,50000,1,50000,0,8.6919959,0,,,,,
narrow-r075k,75000,1,50000,0,3.9148847,0,,,,,
narrow-r100k,100000,1,50000,0,2.331286,1000,0.011374332,2.2745022,0.071926074,0.7,0.014751271
narrow-r150k,150000,1,50000,0,1.4655993,0,,,,,
narrow-r200k,200000,1,50000,0,1.2108847,0,,,,,
moderate-r050k,50000,2.5,50000,0,13.772085,0,,,,,
moderate-r075k,75000,2.5,50000,0,10.407633,0,,,,,
moderate-r100k,100000,2.5,50000,0,9.1154093,1000,-0.33636895,8.7901171,0.27796791,0.697,0.014751271
moderate-r150k,150000,2.5,50000,0,8.105883,1000,-0.10779421,7.7510722,0.24511042,0.71,0.014751271
moderate-r200k,200000,2.5,50000,0,7.7286878,0,,,,,
broad-r050k,50000,5,50000,0,27.898203,0,,,,,
broad-r075k,75000,5,50000,0,25.650013,0,,,,,
broad-r100k,100000,5,50000,0,24.811431,1000,-1.6264801,24.33347,0.76949187,0.7,0.014751271
broad-r150k,150000,5,50000,0,24.195405,0,,,,,
broad-r200k,200000,5,50000,0,23.976406,0,,,,,
